efficiency,sustainability,equality,peace
17.0,34.2,917.95,0.77
19.75,30.77,916.13,0.75
17.0,24.35,921.55,0.79
17.75,19.73,920.83,0.8
29.0,44.23,906.74,0.79
22.5,40.02,899.65,0.8
21.0,30.35,898.54,0.78
24.75,48.65,898.94,0.78
12.5,25.39,895.43,0.8
16.5,28.15,911.23,0.76
14.75,26.24,893.41,0.76
14.25,22.77,900.73,0.76
20.0,29.34,915.64,0.76
18.25,25.37,898.58,0.78
18.75,35.1,911.39,0.77
32.5,57.3,925.74,0.79
27.75,44.06,924.18,0.77
20.25,27.08,900.47,0.76
23.5,37.05,904.62,0.78
21.0,28.12,911.98,0.77
16.0,14.98,909.59,0.77
16.0,14.2,896.23,0.79
15.0,26.79,904.44,0.76
17.75,24.04,907.07,0.76
17.0,28.31,904.58,0.79
26.0,36.38,909.85,0.76
12.0,19.78,924.9,0.77
16.25,32.57,915.44,0.79
13.0,13.97,913.32,0.77
17.0,24.46,896.09,0.75
15.5,29.0,929.66,0.77
19.0,33.16,918.27,0.75
12.75,14.8,921.26,0.79
22.25,35.84,925.38,0.78
21.25,32.2,899.55,0.77
24.25,42.49,908.05,0.76
19.25,41.49,919.5,0.77
17.25,28.88,901.6,0.77
18.0,41.44,910.35,0.76
17.0,23.5,922.58,0.75
25.75,44.77,919.54,0.76
20.25,33.08,915.16,0.76
27.0,61.6,922.71,0.77
23.25,35.67,917.5,0.77
22.75,41.14,910.99,0.79
18.0,44.61,906.88,0.76
19.0,41.05,922.9,0.79
19.25,36.7,931.84,0.79
14.75,26.21,917.25,0.79
17.25,40.6,914.85,0.78
12.5,18.42,915.18,0.79
29.75,57.76,929.75,0.76
23.0,37.93,929.95,0.79
19.25,29.01,925.43,0.77
18.5,34.27,906.99,0.77
27.75,56.43,919.58,0.79
13.5,12.83,903.28,0.79
24.0,34.55,919.04,0.77
21.25,45.28,928.88,0.77
23.75,38.29,926.49,0.78
21.75,41.48,900.64,0.78
21.0,25.51,927.44,0.76
19.25,36.97,919.02,0.77
24.5,31.46,924.19,0.78
16.5,25.07,920.66,0.79
22.0,36.16,917.66,0.79
22.25,36.77,912.03,0.79
21.0,41.81,918.25,0.77
19.75,33.16,906.32,0.76
24.25,42.53,923.06,0.78
21.5,35.46,930.96,0.79
13.75,39.89,904.55,0.79
23.0,41.05,918.59,0.76
16.25,24.23,921.79,0.77
24.5,38.95,909.7,0.74
14.25,20.63,896.14,0.79
18.0,33.92,914.81,0.79
22.5,34.28,919.31,0.78
7.5,11.47,881.58,0.77
22.75,51.64,911.63,0.78
11.75,10.58,905.02,0.79
22.5,41.44,902.64,0.79
21.0,33.26,918.25,0.76
26.25,49.06,921.75,0.78
24.0,53.61,924.76,0.79
16.5,41.76,904.94,0.8
21.5,47.86,925.67,0.77
14.25,19.64,922.49,0.79
18.25,33.71,910.87,0.79
22.5,37.87,928.71,0.78
17.0,31.15,916.15,0.77
10.25,10.11,898.24,0.77
22.75,39.82,917.35,0.79
22.0,42.04,909.85,0.79
19.25,36.81,927.09,0.75
16.75,24.24,918.52,0.78
18.5,31.58,930.38,0.77
8.75,15.99,892.96,0.76
24.25,48.1,923.06,0.77
14.75,15.01,922.3,0.76
23.0,33.64,929.32,0.79
27.5,55.06,925.92,0.78
23.0,31.65,921.32,0.8
14.5,23.83,932.03,0.79
19.0,35.29,923.38,0.79
9.75,25.12,911.92,0.79
17.0,30.38,918.47,0.77
26.0,43.03,899.05,0.79
18.5,37.29,912.84,0.78
28.5,50.58,923.07,0.79
21.25,20.93,917.03,0.77
20.75,29.38,911.71,0.79
36.25,66.87,918.04,0.77
32.0,41.99,917.08,0.79
23.25,29.35,911.85,0.79
24.75,46.72,908.66,0.77
29.0,46.72,919.86,0.79
22.75,18.18,925.09,0.76
33.25,49.25,922.04,0.76
23.25,37.12,901.53,0.76
19.75,20.89,898.74,0.79
26.75,38.22,898.89,0.76
32.25,49.93,929.36,0.76
20.25,18.94,928.17,0.78
12.5,13.45,921.26,0.79
20.75,36.36,903.08,0.76
22.0,21.1,918.73,0.73
35.5,65.34,909.04,0.75
20.75,25.42,906.31,0.79
25.25,42.39,903.22,0.77
18.0,20.77,901.55,0.76
31.75,48.49,903.5,0.79
29.75,51.74,909.33,0.76
22.5,21.0,929.48,0.76
28.0,42.02,919.01,0.79
23.0,35.32,899.44,0.77
26.0,41.9,915.12,0.78
20.25,26.54,905.62,0.78
16.75,21.93,909.49,0.78
26.75,44.11,892.77,0.78
19.5,23.18,903.69,0.78
23.25,31.79,899.07,0.8
29.5,46.83,907.69,0.78
21.5,26.68,910.97,0.77
14.75,15.96,901.37,0.79
27.5,29.04,926.14,0.78
26.75,46.19,925.13,0.77
23.5,38.31,904.07,0.76
31.75,50.94,911.44,0.77
22.5,31.69,902.22,0.77
18.0,28.12,906.68,0.77
22.25,31.7,897.53,0.8
10.75,-0.79,912.44,0.79
22.0,33.01,916.41,0.79
26.0,43.75,921.39,0.79
26.0,42.7,892.27,0.79
23.25,30.04,910.87,0.76
34.75,59.77,912.63,0.76
21.0,32.99,899.44,0.78
17.75,18.71,911.19,0.79
21.75,23.5,922.67,0.8
16.75,22.46,905.98,0.79
32.0,47.72,912.95,0.74
24.0,33.56,898.48,0.76
14.75,22.29,913.32,0.77
23.0,22.94,901.92,0.75
26.75,40.51,908.95,0.8
25.75,36.05,915.13,0.77
14.25,13.71,903.95,0.77
18.5,27.72,886.14,0.77
24.0,33.66,899.92,0.79
29.75,51.16,906.73,0.76
31.25,61.5,902.6,0.77
25.25,39.83,904.14,0.76
34.0,60.06,911.54,0.79
26.0,49.76,912.43,0.77
27.75,34.8,909.08,0.74
14.0,21.74,897.61,0.76
20.25,34.49,890.23,0.76
30.0,52.41,900.59,0.77
22.0,48.9,910.8,0.76
25.5,48.64,895.63,0.74
25.5,60.66,924.76,0.8
29.25,60.75,885.79,0.77
22.0,42.96,914.59,0.78
21.75,43.43,900.55,0.79
21.5,41.88,906.87,0.79
29.75,61.54,918.93,0.8
30.75,62.23,924.16,0.78
20.75,36.93,877.18,0.79
23.5,43.58,928.69,0.79
31.5,51.91,918.17,0.79
35.5,60.17,931.91,0.78
29.5,55.58,912.85,0.79
21.5,41.87,887.49,0.77
27.25,55.23,908.23,0.77
29.25,54.96,916.17,0.78
32.0,45.82,918.97,0.79
15.75,17.03,888.49,0.78
30.75,48.04,902.49,0.8
23.0,28.46,890.38,0.79
35.5,62.97,911.76,0.77
32.5,51.65,910.76,0.76
23.25,37.44,903.77,0.77
36.25,61.04,893.6,0.77
21.25,34.05,892.41,0.79
27.75,61.87,898.31,0.76
21.25,37.38,910.06,0.8
30.0,58.62,912.4,0.79
30.5,58.42,905.58,0.78
31.0,56.83,890.93,0.77
18.5,28.67,889.3,0.8
21.25,41.31,900.58,0.8
25.0,49.62,884.44,0.74
19.75,21.45,883.09,0.77
20.25,26.43,912.98,0.78
29.25,50.31,887.69,0.77
25.0,50.92,910.83,0.8
33.25,60.02,911.45,0.76
33.25,66.88,918.34,0.79
26.5,43.72,916.47,0.77
26.25,48.23,924.96,0.79
28.5,66.38,903.34,0.78
21.75,36.37,898.64,0.79
29.25,59.48,918.07,0.78
29.25,58.57,909.05,0.74
31.75,59.03,894.08,0.76
22.0,32.08,893.76,0.78
27.75,45.82,910.82,0.77
26.0,42.93,887.15,0.77
34.5,75.83,909.7,0.77
24.5,44.51,905.96,0.77
30.0,51.34,905.92,0.8
37.5,68.78,901.84,0.75
33.75,68.54,905.1,0.74
21.25,37.91,913.32,0.79
28.75,58.05,918.64,0.78
23.5,35.53,892.64,0.76
39.0,79.06,913.68,0.76
35.5,66.86,906.67,0.77
26.75,49.24,927.86,0.78
28.0,47.01,908.86,0.8
29.75,49.5,924.06,0.79
36.25,74.09,919.84,0.79
38.0,65.83,916.25,0.77
37.0,66.6,923.46,0.8
20.0,25.56,920.27,0.8
30.0,43.58,930.45,0.8
35.5,69.51,919.98,0.78
28.75,49.76,918.64,0.78
41.75,69.24,921.31,0.77
37.75,71.22,918.11,0.76
26.25,45.85,914.12,0.78
28.5,42.32,927.46,0.77
34.5,65.26,930.84,0.78
30.75,47.98,905.65,0.79
29.5,45.3,917.56,0.79
16.5,18.1,898.18,0.76
25.25,48.49,900.4,0.77
27.0,52.99,902.52,0.77
27.75,48.1,888.3,0.78
21.5,39.89,913.76,0.79
32.5,56.96,894.95,0.79
32.0,66.79,919.4,0.79
40.0,66.11,923.74,0.77
32.0,49.98,905.08,0.78
25.5,45.84,905.97,0.76
34.25,62.94,901.57,0.78
25.5,30.49,901.89,0.76
37.0,64.18,908.82,0.79
36.0,67.94,914.87,0.8
32.75,66.81,928.59,0.78
24.0,45.4,910.43,0.78
42.5,80.2,918.23,0.79
36.25,66.15,923.67,0.79
35.5,71.62,927.02,0.78
29.75,51.0,918.46,0.8
31.25,49.59,908.88,0.79
27.75,52.09,914.83,0.77
33.0,51.05,922.37,0.79
37.0,68.82,898.69,0.77
27.5,48.62,892.11,0.77
21.5,34.8,910.74,0.8
26.5,50.45,892.62,0.79
30.0,54.72,900.36,0.79
30.5,58.8,900.58,0.77
35.0,58.17,896.46,0.78
27.75,43.61,906.32,0.8
31.25,62.04,874.66,0.78
28.75,47.88,910.43,0.77
22.75,49.89,904.78,0.79
16.75,26.26,894.26,0.79
27.75,44.5,888.8,0.77
26.25,49.06,899.31,0.79
26.75,47.39,917.48,0.79
36.5,64.86,911.42,0.78
34.25,70.61,916.16,0.78
27.75,53.84,892.56,0.78
35.0,64.05,901.82,0.77
37.75,62.19,891.62,0.77
