efficiency,sustainability,equality,peace,cooperability
25.12,41.91,0.59,839.28,0.18
20.97,33.58,0.79,867.76,0.09
22.66,36.23,0.67,847.22,0.1
24.94,30.31,0.65,852.55,0.22
20.16,38.23,0.81,885.5,0.17
21.44,48.18,0.66,845.8,0.26
20.31,28.56,0.84,862.24,0.16
18.68,32.84,0.76,849.69,0.16
21.4,38.67,0.76,862.13,0.12
19.87,44.1,0.76,829.79,0.35
18.38,28.67,0.6,885.67,0.01
21.87,34.01,0.6,842.68,0.01
22.73,50.46,0.74,841.57,0.3
25.82,34.61,0.77,887.88,0.13
21.9,32.17,0.73,868.45,0.11
21.59,37.33,0.67,870.64,0.3
15.46,37.43,0.72,848.37,0.08
21.58,41.66,0.74,858.96,0.06
11.26,13.03,0.63,838.91,0.16
22.24,41.34,0.82,851.95,0.03
23.68,38.61,0.6,832.73,0.16
18.3,36.91,0.78,860.0,0.24
23.72,32.83,0.75,849.27,0.18
28.86,45.54,0.8,865.67,0.07
24.42,38.97,0.65,831.12,0.25
16.78,23.23,0.75,838.66,0.12
19.78,26.55,0.9,854.7,0.1
21.03,29.17,0.78,829.22,0.3
26.89,38.11,0.72,848.88,0.3
23.82,26.5,0.77,858.22,0.13
14.56,31.08,0.73,815.43,0.25
18.1,29.95,0.88,807.63,0.23
26.63,48.41,0.82,861.54,0.21
18.46,41.79,0.72,878.31,0.11
20.48,24.82,0.75,842.11,0.03
22.05,40.04,0.7,863.25,0.14
21.74,39.6,0.83,893.44,0.17
24.06,35.19,0.62,836.69,0.04
20.66,49.77,0.61,852.87,0.14
29.22,61.07,0.83,852.82,0.22
33.09,56.98,0.9,872.61,0.17
28.02,55.16,0.76,873.01,0.04
34.33,49.59,0.73,878.23,0.11
21.62,48.33,0.76,931.3,0.12
20.89,43.85,0.68,909.15,0.11
24.21,51.15,0.75,865.21,0.06
15.56,30.07,0.72,852.33,0.08
21.0,26.67,0.76,823.9,0.1
26.18,44.2,0.62,851.67,0.22
21.22,32.14,0.69,886.55,0.17
22.59,30.87,0.78,852.27,0.14
21.07,37.89,0.68,900.97,0.23
21.23,38.4,0.65,864.82,0.22
21.3,35.67,0.9,871.99,0.1
22.53,50.4,0.74,849.91,0.37
18.67,37.69,0.69,933.68,0.02
23.0,44.72,0.59,903.11,0.27
27.45,37.8,0.79,865.74,0.06
27.5,31.57,0.77,898.37,0.06
25.98,37.45,0.71,904.75,0.09
22.49,48.21,0.64,886.32,0.26
17.66,50.93,0.73,942.23,0.2
22.14,43.23,0.65,868.18,0.23
23.36,34.56,0.66,882.86,0.29
21.84,27.54,0.72,862.9,0.11
27.27,35.58,0.65,806.79,0.32
21.1,38.04,0.75,896.77,0.11
31.64,54.67,0.77,864.5,0.02
20.78,39.41,0.66,861.45,0.19
13.05,17.49,0.62,811.96,0.18
22.28,52.19,0.84,911.45,0.33
18.36,27.82,0.66,888.83,0.24
17.27,38.56,0.67,879.63,0.22
17.36,32.95,0.76,887.21,0.14
20.94,31.08,0.78,863.75,0.09
24.88,34.98,0.71,898.15,0.21
18.3,47.86,0.76,873.13,0.02
18.37,30.72,0.69,879.54,0.31
19.99,50.28,0.65,879.42,0.01
23.88,44.88,0.8,879.24,0.1
21.19,28.92,0.92,875.9,0.0
17.48,28.33,0.87,902.28,0.11
19.21,35.64,0.74,915.65,0.15
23.41,39.37,0.89,899.27,0.19
23.68,49.42,0.75,870.45,0.05
25.57,39.77,0.7,894.82,0.2
21.81,33.39,0.76,846.86,0.1
22.21,42.66,0.72,842.65,0.22
27.01,60.38,0.65,897.81,0.05
17.45,28.47,0.65,882.51,0.01
23.37,50.99,0.78,893.91,0.11
31.39,58.51,0.58,888.85,0.32
24.85,46.65,0.77,874.13,0.04
20.95,35.06,0.6,873.05,0.21
22.97,27.87,0.55,874.99,0.08
17.12,38.99,0.58,885.97,0.24
31.88,43.12,0.88,861.91,0.21
19.88,43.44,0.71,895.52,0.13
24.87,37.32,0.73,875.15,0.31
26.99,47.37,0.82,934.04,0.18
32.18,53.0,0.78,860.36,0.09
20.81,40.82,0.63,880.31,0.23
18.93,32.83,0.8,898.0,0.12
25.95,44.71,0.73,853.29,0.19
19.0,40.19,0.69,935.42,0.25
27.9,58.32,0.73,860.26,0.09
15.84,32.45,0.82,853.79,0.06
