efficiency,sustainability,equality,peace,cooperability
28.75,59.28,0.83,906.99,0.05
25.25,40.8,0.82,887.18,0.15
29.75,59.72,0.84,899.2,0.17
37.25,77.94,0.82,888.54,0.08
31.25,58.09,0.83,897.99,0.2
15.25,22.12,0.82,886.97,0.21
22.25,41.35,0.82,869.59,0.17
31.0,55.62,0.84,882.88,0.17
31.75,67.95,0.82,893.39,0.02
42.75,76.09,0.82,886.25,0.2
29.0,58.84,0.81,882.85,0.15
30.25,56.43,0.83,902.61,0.16
32.5,52.66,0.82,881.19,0.16
27.25,38.81,0.84,879.25,0.15
26.0,38.64,0.83,890.27,0.14
34.75,62.28,0.84,895.51,0.19
32.5,60.28,0.82,875.21,0.08
30.75,59.28,0.81,900.04,0.2
38.0,78.88,0.84,896.12,0.09
27.25,53.4,0.82,904.22,0.18
28.5,62.23,0.81,890.15,0.15
32.5,59.08,0.83,895.72,0.14
30.25,55.63,0.82,887.0,0.16
19.5,28.37,0.82,890.45,0.12
26.0,39.5,0.83,877.98,0.02
25.0,39.88,0.82,881.94,0.18
37.0,80.81,0.82,861.18,0.05
26.25,50.15,0.83,884.91,0.12
30.5,58.95,0.82,874.9,0.14
19.25,31.09,0.82,880.8,0.15
34.5,75.85,0.8,896.21,0.21
25.0,28.46,0.82,888.88,0.16
26.5,45.85,0.81,879.66,0.17
31.0,56.27,0.81,881.98,0.18
21.25,40.91,0.8,895.74,0.2
24.25,40.24,0.82,886.76,0.08
30.25,66.43,0.81,889.29,0.11
27.25,68.96,0.8,909.32,0.21
34.0,63.05,0.81,881.69,0.19
26.75,53.89,0.82,879.17,0.18
20.0,36.15,0.81,895.82,0.2
35.5,64.42,0.81,881.17,0.21
37.0,83.42,0.83,896.09,0.19
31.25,60.8,0.82,897.55,0.17
28.0,56.55,0.81,890.27,0.16
28.75,62.0,0.85,897.33,0.19
16.5,31.43,0.82,894.27,0.16
24.75,39.28,0.83,887.25,0.18
19.5,36.88,0.8,876.92,0.08
29.25,62.61,0.84,884.75,0.13
28.75,52.47,0.83,877.77,0.17
26.25,33.94,0.81,894.17,0.19
30.0,56.09,0.84,888.88,0.17
26.25,48.16,0.81,893.91,0.19
27.25,49.16,0.78,901.67,0.12
28.0,45.11,0.81,886.3,0.13
30.25,67.9,0.84,869.55,0.1
35.5,67.78,0.83,890.17,0.11
35.75,72.77,0.82,886.82,0.22
22.75,39.14,0.85,902.86,0.17
32.5,67.1,0.85,891.87,0.13
26.0,50.64,0.78,903.09,0.15
18.0,35.76,0.84,881.01,0.19
31.5,67.83,0.84,884.65,0.17
23.75,44.99,0.83,893.27,0.2
28.25,60.16,0.83,898.56,0.18
26.5,43.17,0.83,865.51,0.19
21.25,40.31,0.81,876.79,0.16
32.25,64.06,0.84,891.08,0.15
33.0,67.22,0.82,895.95,0.16
28.25,43.83,0.83,895.61,0.17
26.75,55.54,0.85,890.07,0.11
26.0,54.39,0.85,880.92,0.09
22.0,41.0,0.81,877.01,0.11
27.0,49.62,0.84,877.67,0.16
23.5,30.99,0.82,883.32,0.17
27.5,49.12,0.84,891.91,0.23
35.5,71.36,0.84,902.88,0.17
28.5,50.88,0.82,882.35,0.17
31.5,67.89,0.85,885.09,0.1
28.25,54.0,0.84,879.88,0.21
31.0,50.55,0.81,881.09,0.19
34.75,58.58,0.84,893.92,0.19
25.25,51.88,0.83,894.32,0.18
16.75,21.38,0.84,880.01,0.19
22.0,38.96,0.79,885.85,0.18
24.75,41.63,0.84,901.84,0.04
26.5,52.07,0.83,880.44,0.18
9.0,12.16,0.84,883.32,0.2
20.25,34.22,0.83,896.36,0.15
20.5,36.51,0.82,871.13,0.22
32.25,63.21,0.84,901.41,0.16
33.0,64.97,0.83,887.53,0.2
29.25,47.95,0.84,883.8,0.22
36.0,79.15,0.84,878.7,0.19
23.25,55.13,0.84,874.37,0.22
23.25,42.91,0.84,876.16,0.23
29.5,55.47,0.83,904.98,0.17
23.75,36.81,0.82,900.28,0.23
27.25,36.51,0.85,899.12,0.19
20.5,41.26,0.83,890.1,0.1
22.25,46.46,0.82,899.55,0.13
28.75,57.1,0.84,864.49,0.22
22.0,36.64,0.82,889.64,0.15
36.25,74.21,0.85,887.92,0.19
23.75,43.67,0.81,879.52,0.13
15.5,25.99,0.82,873.02,0.15
32.0,51.05,0.84,891.14,0.1
26.5,43.03,0.82,888.57,0.14
24.0,42.19,0.83,893.16,0.2
24.0,42.29,0.83,892.58,0.17
17.0,40.05,0.85,886.59,0.15
27.75,54.43,0.84,884.33,0.17
28.5,50.08,0.84,899.89,0.23
30.75,65.26,0.84,859.39,0.11
20.0,35.66,0.84,888.19,0.02
10.75,20.7,0.85,896.24,0.09
25.0,45.34,0.82,891.66,0.08
26.5,58.13,0.83,855.03,0.12
22.5,42.25,0.84,882.71,0.02
25.0,57.08,0.84,878.05,0.03
16.0,34.5,0.85,884.19,0.14
24.25,44.42,0.82,878.17,0.08
27.0,55.18,0.83,876.64,0.12
31.25,54.13,0.85,897.99,0.17
28.5,52.31,0.82,880.89,0.15
27.25,56.99,0.83,891.99,0.15
25.75,55.41,0.83,890.88,0.2
24.5,55.74,0.84,890.98,0.16
29.75,52.8,0.84,877.26,0.21
22.25,45.81,0.82,877.08,0.17
19.25,31.61,0.84,891.62,0.17
20.75,30.46,0.81,889.35,0.18
26.5,48.48,0.84,867.08,0.2
30.25,70.65,0.83,882.87,0.22
20.25,40.23,0.84,889.15,0.19
26.0,55.79,0.84,885.46,0.17
26.5,53.48,0.81,872.32,0.19
24.0,39.06,0.84,879.85,0.14
24.75,40.55,0.84,873.79,0.19
35.0,67.78,0.85,889.67,0.19
17.0,44.14,0.84,894.76,0.18
24.0,40.83,0.85,884.77,0.16
26.75,56.03,0.83,898.38,0.18
33.75,62.57,0.84,894.44,0.18
21.5,41.93,0.84,873.64,0.21
22.0,47.82,0.84,887.74,0.12
27.25,55.28,0.83,874.15,0.14
25.0,46.66,0.83,870.27,0.16
17.25,36.45,0.84,885.74,0.1
26.25,53.48,0.84,897.61,0.09
29.0,48.75,0.84,872.55,0.06
22.0,43.59,0.8,892.79,0.05
23.25,43.5,0.82,877.35,0.12
27.25,52.72,0.82,879.76,0.14
19.75,22.18,0.79,876.29,0.11
27.25,53.91,0.82,892.5,0.21
21.5,32.52,0.81,868.47,0.13
21.5,35.28,0.84,854.26,0.2
24.0,39.08,0.84,871.17,0.1
26.75,47.63,0.84,874.5,0.09
22.0,46.33,0.83,899.74,0.21
18.75,35.55,0.84,889.99,0.18
18.5,41.39,0.85,872.06,0.12
38.25,73.87,0.85,897.48,0.12
22.25,35.39,0.85,868.35,0.07
33.75,56.88,0.82,894.02,0.13
28.0,42.62,0.83,882.33,0.19
21.25,41.36,0.84,892.15,0.12
36.0,72.24,0.84,897.21,0.08
22.5,37.47,0.84,890.11,0.2
30.5,48.07,0.82,901.08,0.18
23.75,37.92,0.84,904.38,0.14
32.75,58.44,0.84,890.96,0.12
23.0,36.98,0.84,894.19,0.19
27.25,51.05,0.84,878.74,0.22
18.75,33.92,0.81,859.62,0.18
18.25,39.55,0.85,883.71,0.18
22.5,41.78,0.84,896.9,0.16
21.0,35.92,0.84,869.44,0.04
21.25,33.6,0.84,882.34,0.06
20.75,34.64,0.84,881.99,0.05
32.5,60.15,0.83,903.41,0.16
30.0,53.08,0.81,893.51,0.18
24.75,40.73,0.82,895.11,0.19
33.0,67.55,0.84,904.79,0.16
25.75,44.9,0.83,890.88,0.17
16.75,30.56,0.82,904.05,0.15
24.25,42.45,0.83,891.34,0.19
31.5,53.41,0.84,877.15,0.2
22.5,38.71,0.85,888.26,0.1
29.25,55.53,0.81,898.99,0.22
25.25,43.68,0.82,903.12,0.05
36.0,57.82,0.83,876.38,0.13
30.5,58.62,0.8,901.99,0.18
29.0,52.87,0.84,887.87,0.11
17.0,22.87,0.83,862.09,0.14
26.75,55.69,0.84,894.23,0.15
31.25,58.68,0.83,907.32,0.14
32.0,55.46,0.84,891.14,0.19
22.25,36.5,0.83,898.93,0.14
28.0,55.98,0.83,898.7,0.08
20.5,34.87,0.8,861.65,0.18
24.25,44.52,0.81,885.62,0.17
26.75,48.98,0.83,898.38,0.21
29.25,60.19,0.84,896.86,0.17
29.75,45.99,0.84,879.12,0.2
27.5,42.79,0.79,890.9,0.17
30.75,62.74,0.82,893.71,0.2
25.75,45.0,0.84,883.86,0.2
30.5,55.39,0.83,887.42,0.09
25.25,51.65,0.82,867.38,0.1
22.25,32.57,0.82,900.18,0.09
22.75,40.59,0.84,874.17,0.31
25.5,43.83,0.83,890.4,0.12
28.5,54.94,0.82,894.05,0.2
33.25,60.36,0.83,892.93,0.18
24.25,43.39,0.84,884.47,0.16
19.0,47.32,0.83,873.09,0.13
22.25,38.99,0.84,883.95,0.02
26.75,54.38,0.84,875.54,0.13
26.25,45.83,0.83,879.89,0.11
20.75,46.75,0.85,872.62,0.01
26.75,49.88,0.82,898.9,0.19
21.5,39.02,0.84,894.95,0.13
24.5,38.34,0.82,893.53,0.12
28.75,59.28,0.84,897.82,0.14
24.75,45.46,0.82,875.47,0.06
24.25,53.75,0.84,875.31,0.12
18.25,26.82,0.78,865.06,0.18
29.25,56.65,0.84,894.25,0.15
28.0,48.59,0.84,889.28,0.2
19.5,41.51,0.83,878.34,0.16
20.75,40.81,0.84,908.76,0.15
23.0,53.28,0.84,866.42,0.11
26.5,47.84,0.82,877.04,0.07
22.5,36.22,0.84,882.4,0.09
17.25,35.86,0.82,901.84,0.17
27.0,41.28,0.82,884.35,0.17
23.25,44.64,0.83,891.09,0.2
23.5,40.96,0.85,889.53,0.16
20.0,42.32,0.83,892.35,0.18
19.75,45.01,0.83,886.84,0.15
27.25,53.67,0.84,902.69,0.16
30.0,57.2,0.84,883.79,0.08
25.25,40.15,0.83,896.25,0.18
27.25,57.4,0.84,889.95,0.16
24.5,45.18,0.84,886.73,0.16
23.0,35.21,0.84,891.17,0.06
22.75,37.86,0.84,887.6,0.16
40.0,78.8,0.83,894.44,0.14
31.5,54.01,0.83,878.03,0.21
28.5,54.32,0.84,887.71,0.17
31.5,62.34,0.84,889.5,0.15
32.25,72.68,0.82,900.12,0.15
28.25,49.05,0.85,897.58,0.1
27.5,58.18,0.84,892.42,0.14
18.0,25.22,0.83,881.78,0.08
22.0,36.43,0.84,880.8,0.17
30.0,55.92,0.84,889.81,0.14
19.25,21.12,0.84,887.65,0.17
22.75,30.65,0.79,880.88,0.07
25.75,42.36,0.84,887.1,0.19
26.75,51.68,0.82,882.29,0.04
22.25,41.75,0.82,884.89,0.08
30.5,52.64,0.84,884.24,0.21
27.25,47.24,0.83,886.89,0.14
32.75,61.61,0.82,886.29,0.18
21.5,41.77,0.83,881.39,0.03
20.25,26.31,0.81,894.98,0.19
20.25,34.83,0.83,875.78,0.02
33.5,70.09,0.82,907.37,0.16
24.25,43.77,0.85,899.36,0.2
24.75,39.85,0.81,891.18,0.19
20.0,41.38,0.84,886.8,0.12
29.5,42.42,0.84,900.04,0.15
23.5,44.08,0.82,861.46,0.15
22.5,47.54,0.83,874.68,0.18
22.5,41.54,0.83,862.65,0.11
17.0,24.57,0.85,900.48,0.17
11.75,13.6,0.83,846.69,0.16
27.75,56.67,0.82,886.08,0.2
23.5,31.13,0.84,892.19,0.13
11.0,20.68,0.84,849.24,0.08
21.5,43.53,0.84,873.31,0.13
12.25,23.18,0.83,865.19,0.01
16.75,28.05,0.83,897.42,0.15
26.5,48.52,0.84,885.42,0.17
18.75,34.53,0.81,877.4,0.19
32.5,70.24,0.82,880.76,0.08
25.75,43.47,0.81,861.21,0.01
21.75,37.16,0.84,879.49,0.01
18.5,36.65,0.84,884.08,0.11
22.5,43.56,0.84,895.05,0.09
29.75,49.94,0.84,895.23,0.19
22.5,43.71,0.84,899.99,0.16
25.75,32.4,0.84,898.43,0.16
23.5,46.77,0.84,889.23,0.2
24.0,40.83,0.82,868.86,0.16
30.0,65.93,0.83,881.7,0.03
22.75,38.08,0.81,871.73,0.14
24.75,40.36,0.82,893.99,0.05
30.5,60.36,0.84,895.62,0.13
26.75,44.43,0.83,890.59,0.2
26.25,52.64,0.82,884.38,0.17
17.75,31.93,0.81,854.38,0.18
26.75,46.27,0.83,875.54,0.18
28.0,51.58,0.84,892.5,0.21
23.25,47.66,0.84,891.09,0.05
24.75,48.06,0.81,872.1,0.18
23.25,37.44,0.83,897.06,0.2
31.0,55.11,0.83,899.9,0.07
25.75,45.91,0.84,897.89,0.13
18.75,30.1,0.84,876.66,0.15
27.0,59.05,0.82,877.67,0.14
25.25,39.18,0.82,882.78,0.16
27.25,52.51,0.84,886.38,0.18
17.5,26.63,0.82,853.17,0.18
25.75,45.6,0.84,883.86,0.08
16.5,32.53,0.82,889.22,0.06
21.5,39.25,0.81,890.11,0.09
19.5,28.09,0.81,887.6,0.18
30.75,58.39,0.83,894.16,0.03
23.75,48.73,0.82,870.46,0.01
27.75,45.39,0.84,890.83,0.11
20.5,32.52,0.83,900.26,0.05
16.0,22.42,0.84,879.85,0.18
21.75,36.26,0.83,888.43,0.1
16.75,33.64,0.82,893.27,0.02
32.0,67.35,0.84,888.1,0.11
28.5,53.25,0.84,874.31,0.14
23.5,42.97,0.84,849.64,0.16
17.0,30.34,0.84,868.62,0.17
32.0,66.85,0.83,886.36,0.21
36.75,72.3,0.82,883.32,0.11
30.25,56.68,0.81,873.68,0.12
31.75,60.28,0.84,889.45,0.16
26.75,45.27,0.83,893.71,0.16
24.25,41.83,0.84,889.62,0.14
24.0,39.21,0.83,895.19,0.23
23.75,51.95,0.84,897.36,0.07
32.75,65.2,0.83,880.36,0.15
23.5,46.75,0.82,878.01,0.14
31.25,77.69,0.85,885.55,0.12
15.25,21.73,0.8,883.78,0.16
19.75,37.69,0.84,874.18,0.11
31.25,65.26,0.84,900.21,0.15
36.0,67.94,0.82,874.45,0.21
27.0,34.64,0.84,895.16,0.11
19.0,36.89,0.84,887.71,0.11
19.75,33.39,0.83,884.73,0.14
32.0,62.28,0.82,888.53,0.16
19.25,36.2,0.84,874.67,0.2
24.5,53.2,0.84,889.56,0.09
25.25,43.15,0.84,889.65,0.16
34.75,63.11,0.82,894.32,0.13
22.25,43.23,0.83,862.73,0.04
22.5,50.24,0.81,891.35,0.14
22.75,42.11,0.82,898.59,0.1
21.5,47.24,0.83,896.89,0.24
28.0,47.57,0.84,877.59,0.18
28.75,45.35,0.84,878.06,0.16
22.75,30.54,0.81,883.32,0.02
31.25,54.39,0.84,882.8,0.06
36.0,51.91,0.84,894.08,0.23
33.5,61.1,0.84,867.24,0.18
33.75,54.38,0.85,883.08,0.14
31.25,45.84,0.83,889.67,0.21
31.0,49.46,0.85,887.87,0.1
27.0,35.92,0.82,870.7,0.15
26.25,33.2,0.83,880.38,0.2
26.5,40.64,0.84,882.68,0.15
41.5,77.89,0.82,902.35,0.2
37.5,66.32,0.79,888.03,0.15
33.0,61.31,0.84,883.32,0.17
39.5,69.73,0.81,903.05,0.24
21.0,30.6,0.82,872.91,0.16
17.75,28.8,0.81,883.32,0.21
21.5,24.68,0.83,863.12,0.19
23.5,40.73,0.84,887.08,0.08
23.75,35.0,0.82,898.88,0.2
28.75,57.82,0.82,889.17,0.22
35.5,66.56,0.82,895.62,0.19
37.75,60.51,0.83,898.17,0.21
33.5,62.74,0.83,884.3,0.22
34.75,58.72,0.81,896.4,0.22
25.75,48.41,0.83,890.69,0.23
26.5,47.79,0.82,883.97,0.23
29.25,38.04,0.82,891.92,0.23
19.0,20.37,0.84,882.33,0.14
24.0,31.57,0.8,876.02,0.2
32.5,65.18,0.84,884.84,0.17
22.5,22.45,0.84,880.94,0.21
25.0,38.06,0.83,884.02,0.18
33.5,55.25,0.84,871.63,0.13
29.25,53.16,0.82,882.18,0.04
35.75,62.44,0.82,880.16,0.03
30.75,50.1,0.78,877.66,0.13
31.75,51.21,0.83,868.79,0.12
35.75,59.71,0.84,886.94,0.2
27.5,48.13,0.83,884.56,0.17
17.25,19.36,0.84,891.26,0.16
22.5,34.07,0.84,875.39,0.23
32.5,49.84,0.83,901.5,0.23
34.0,42.62,0.82,883.32,0.23
24.5,36.09,0.85,864.1,0.21
31.0,55.92,0.84,900.42,0.16
32.0,58.52,0.82,873.55,0.13
27.0,49.29,0.84,884.59,0.25
17.0,18.41,0.84,891.43,0.24
28.5,53.84,0.84,886.74,0.24
37.0,64.91,0.84,892.58,0.21
42.5,80.35,0.85,891.93,0.16
35.0,68.6,0.82,885.56,0.25
38.5,58.39,0.84,873.85,0.24
35.75,58.72,0.83,895.88,0.14
34.5,52.12,0.83,897.46,0.18
27.25,45.88,0.84,887.44,0.22
32.25,52.03,0.76,880.58,0.13
27.0,37.61,0.83,872.91,0.23
36.25,71.48,0.82,880.95,0.16
44.25,73.91,0.85,891.9,0.17
31.0,51.27,0.84,890.85,0.15
34.75,62.33,0.81,848.79,0.23
39.75,78.75,0.83,903.68,0.22
33.25,64.84,0.82,889.14,0.26
33.5,66.66,0.84,880.18,0.25
33.0,50.48,0.84,905.22,0.22
29.25,46.68,0.82,863.35,0.23
27.75,51.74,0.82,870.61,0.2
28.25,50.37,0.82,878.97,0.24
26.0,35.02,0.84,881.13,0.18
39.0,63.45,0.83,901.55,0.26
38.0,64.49,0.84,896.32,0.23
36.0,68.44,0.83,897.69,0.24
25.5,31.74,0.84,878.82,0.2
20.5,30.37,0.84,866.87,0.12
35.75,66.29,0.81,872.22,0.14
24.0,39.34,0.84,890.68,0.15
35.75,59.57,0.84,877.53,0.04
28.0,45.31,0.82,870.1,0.07
30.75,53.96,0.84,875.72,0.18
26.5,31.13,0.82,895.43,0.17
31.75,52.68,0.84,873.79,0.21
27.5,40.34,0.84,880.62,0.19
29.75,44.48,0.83,877.22,0.19
35.0,55.15,0.83,896.22,0.22
21.0,29.63,0.82,874.4,0.21
35.75,65.91,0.84,893.47,0.23
35.75,52.82,0.84,880.91,0.21
24.25,23.61,0.85,877.29,0.25
32.75,59.22,0.83,884.67,0.18
23.75,35.16,0.84,884.57,0.16
23.0,31.49,0.79,874.65,0.15
35.25,63.14,0.82,861.69,0.18
