efficiency,sustainability,equality,peace,cooperability
6.5,14.49,0.5,1000.0,0.28
11.5,16.5,0.57,1000.0,0.32
19.75,43.36,0.72,1000.0,0.31
10.75,27.44,0.61,1000.0,0.32
15.25,24.09,0.62,1000.0,0.29
12.75,29.62,0.73,981.25,0.3
12.25,32.52,0.72,993.75,0.24
16.75,33.58,0.57,1000.0,0.26
18.75,36.95,0.91,993.75,0.27
13.0,28.54,0.7,1000.0,0.22
14.0,22.68,0.76,1000.0,0.27
15.5,39.0,0.47,1000.0,0.32
13.25,29.26,0.56,1000.0,0.29
14.75,24.91,0.56,1000.0,0.29
17.75,37.54,0.5,1000.0,0.29
13.5,28.67,0.71,1000.0,0.3
24.0,53.26,0.57,1000.0,0.3
18.75,34.54,0.88,987.5,0.27
14.75,34.97,0.64,1000.0,0.32
18.0,34.8,0.86,993.75,0.3
15.25,25.84,0.77,993.75,0.24
19.75,38.2,0.88,1000.0,0.28
13.25,28.94,0.58,1000.0,0.26
11.5,16.96,0.71,1000.0,0.27
18.5,41.89,0.94,1000.0,0.27
9.75,18.38,0.44,981.25,0.29
19.25,34.58,0.78,1000.0,0.31
20.25,39.59,0.73,1000.0,0.28
19.5,39.03,0.8,1000.0,0.29
16.5,31.34,0.64,1000.0,0.31
19.5,25.59,0.9,999.75,0.32
20.5,52.09,0.87,987.5,0.25
9.5,15.18,0.42,1000.0,0.29
19.25,42.06,0.65,1000.0,0.3
10.0,20.84,0.82,1000.0,0.31
9.25,17.99,0.79,981.25,0.29
10.25,23.7,0.75,993.75,0.32
15.75,22.29,0.71,1000.0,0.31
14.5,29.43,0.74,987.5,0.25
13.75,22.94,0.72,1000.0,0.27
11.25,34.91,0.62,993.75,0.32
29.75,59.27,0.62,1000.0,0.26
13.75,18.96,0.5,1000.0,0.33
16.75,30.78,0.69,1000.0,0.27
17.5,29.59,0.77,993.75,0.29
16.25,27.72,0.86,1000.0,0.26
15.25,32.11,0.55,975.0,0.3
11.75,22.52,0.58,1000.0,0.25
12.75,22.09,0.53,1000.0,0.3
8.5,11.99,0.91,1000.0,0.24
10.0,24.47,0.61,1000.0,0.28
20.75,50.56,0.58,1000.0,0.3
18.0,31.56,0.78,1000.0,0.28
19.0,39.64,0.64,1000.0,0.31
19.25,35.22,0.81,1000.0,0.32
16.25,38.26,0.74,1000.0,0.32
20.25,39.76,0.76,1000.0,0.32
8.5,7.03,0.49,1000.0,0.28
15.0,24.14,0.69,1000.0,0.3
15.25,35.29,0.65,1000.0,0.17
21.75,43.85,0.63,1000.0,0.28
16.5,36.81,0.86,993.75,0.28
14.75,35.12,0.64,987.5,0.27
12.5,20.44,0.58,1000.0,0.23
14.75,36.58,0.72,1000.0,0.29
12.25,12.05,0.79,1000.0,0.32
21.25,35.91,0.58,1000.0,0.28
15.0,34.76,0.72,1000.0,0.3
12.0,19.85,0.74,1000.0,0.32
12.75,18.55,0.62,1000.0,0.3
14.5,23.63,0.9,1000.0,0.32
15.25,35.9,0.79,1000.0,0.29
15.0,29.44,0.86,1000.0,0.33
13.0,33.71,0.65,1000.0,0.3
13.75,35.72,0.63,1000.0,0.32
13.25,19.69,0.9,1000.0,0.34
10.0,18.22,0.51,1000.0,0.3
13.5,30.13,0.55,1000.0,0.27
15.75,24.78,0.49,1000.0,0.3
15.75,29.81,0.76,993.75,0.25
19.5,33.92,0.67,1000.0,0.28
14.0,26.69,0.97,1000.0,0.31
20.0,44.25,0.72,993.75,0.31
12.0,22.28,0.68,993.75,0.3
11.5,15.29,0.85,1000.0,0.32
10.25,11.82,0.7,1000.0,0.32
17.0,37.21,0.74,1000.0,0.32
11.0,15.28,0.7,1000.0,0.25
13.25,35.28,0.59,1000.0,0.32
22.25,37.24,0.78,1000.0,0.28
9.25,17.68,0.43,1000.0,0.3
14.0,28.01,0.8,1000.0,0.3
15.75,29.4,0.93,1000.0,0.31
16.0,27.0,0.52,993.75,0.23
14.0,26.67,0.41,1000.0,0.27
14.25,31.46,0.66,1000.0,0.33
18.75,44.76,0.94,1000.0,0.33
10.0,23.92,0.74,987.5,0.26
18.25,40.46,0.68,1000.0,0.28
12.5,26.67,0.5,1000.0,0.25
11.5,18.07,0.64,1000.0,0.3
16.5,25.68,0.74,1000.0,0.32
16.75,36.68,0.79,1000.0,0.29
16.0,27.03,0.6,1000.0,0.31
15.75,31.65,0.81,1000.0,0.32
12.5,24.46,0.59,1000.0,0.28
27.5,56.34,0.95,1000.0,0.32
17.0,33.71,0.71,1000.0,0.3
17.25,30.86,0.74,1000.0,0.3
24.0,43.36,0.85,1000.0,0.29
11.25,19.26,0.63,1000.0,0.31
11.5,23.87,0.85,1000.0,0.32
15.25,36.2,0.79,1000.0,0.31
14.75,24.56,0.79,1000.0,0.29
10.0,14.91,0.46,1000.0,0.29
11.75,26.26,0.63,993.75,0.27
19.5,42.84,0.74,1000.0,0.31
12.75,28.85,0.61,1000.0,0.28
8.5,15.75,0.65,1000.0,0.2
10.25,22.4,0.35,1000.0,0.28
15.0,27.27,0.71,1000.0,0.26
10.5,16.92,0.89,1000.0,0.18
20.5,42.25,0.75,1000.0,0.29
22.25,46.93,0.84,993.75,0.26
28.0,59.59,0.72,981.25,0.33
12.75,27.78,0.63,1000.0,0.29
19.5,32.39,0.74,1000.0,0.28
11.75,21.64,0.74,1000.0,0.31
8.75,10.06,0.56,993.75,0.32
